,name,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
16,Army,-10.71,-6.58,68.2,99.6,0.493,2011,-2.47,2.4,65.7,93.8,0.442,-8.24,-8.98,2.5,5.799999999999997,0.05099999999999999
17,Auburn,-2.47,2.4,65.7,93.8,0.442,2011,-10.71,-6.58,68.2,99.6,0.493,8.24,8.98,-2.5,-5.799999999999997,-0.05099999999999999
18,Austin Peay,-0.15,-3.77,68.6,105.4,0.506,2011,-0.7,-3.4,64.7,103.3,0.492,0.5499999999999999,-0.3700000000000001,3.8999999999999915,2.1000000000000085,0.014000000000000012
19,Ball State,-0.7,-3.4,64.7,103.3,0.492,2011,-0.15,-3.77,68.6,105.4,0.506,-0.5499999999999999,0.3700000000000001,-3.8999999999999915,-2.1000000000000085,-0.014000000000000012
20,Baylor,10.0,4.8,66.5,104.0,0.515,2011,13.07,-4.42,69.2,114.3,0.542,-3.0700000000000003,9.219999999999999,-2.700000000000003,-10.299999999999997,-0.027000000000000024
21,Belmont,13.07,-4.42,69.2,114.3,0.542,2011,10.0,4.8,66.5,104.0,0.515,3.0700000000000003,-9.219999999999999,2.700000000000003,10.299999999999997,0.027000000000000024
22,Bethune-Cookman,-11.11,-8.04,63.5,101.6,0.477,2011,-13.81,-5.35,61.6,96.7,0.468,2.700000000000001,-2.6899999999999995,1.8999999999999986,4.8999999999999915,0.008999999999999952
23,Binghamton,-13.81,-5.35,61.6,96.7,0.468,2011,-11.11,-8.04,63.5,101.6,0.477,-2.700000000000001,2.6899999999999995,-1.8999999999999986,-4.8999999999999915,-0.008999999999999952
24,Boise State,5.48,0.01,68.2,106.4,0.497,2011,9.78,7.31,64.1,111.9,0.545,-4.299999999999999,-7.3,4.1000000000000085,-5.5,-0.04800000000000004
25,Boston College,9.78,7.31,64.1,111.9,0.545,2011,5.48,0.01,68.2,106.4,0.497,4.299999999999999,7.3,-4.1000000000000085,5.5,0.04800000000000004
26,Boston University,-2.48,-3.85,62.7,103.0,0.473,2011,-5.94,-2.03,66.1,95.9,0.471,3.4600000000000004,-1.8200000000000003,-3.3999999999999915,7.099999999999994,0.0020000000000000018
27,Bowling Green State,-5.94,-2.03,66.1,95.9,0.471,2011,-2.48,-3.85,62.7,103.0,0.473,-3.4600000000000004,1.8200000000000003,3.3999999999999915,-7.099999999999994,-0.0020000000000000018
28,Bradley,-1.52,1.67,65.9,98.0,0.473,2011,18.65,5.76,71.1,113.4,0.518,-20.169999999999998,-4.09,-5.199999999999989,-15.400000000000006,-0.04500000000000004
29,Brigham Young,18.65,5.76,71.1,113.4,0.518,2011,-1.52,1.67,65.9,98.0,0.473,20.169999999999998,4.09,5.199999999999989,15.400000000000006,0.04500000000000004
30,Brown,-7.27,-4.12,69.5,102.5,0.506,2011,-12.98,-3.12,66.8,98.7,0.49,5.710000000000001,-1.0,2.700000000000003,3.799999999999997,0.016000000000000014
31,Bryant,-12.98,-3.12,66.8,98.7,0.49,2011,-7.27,-4.12,69.5,102.5,0.506,-5.710000000000001,1.0,-2.700000000000003,-3.799999999999997,-0.016000000000000014
32,Bucknell,2.39,-3.87,66.1,105.9,0.509,2011,2.93,-2.22,67.0,104.6,0.527,-0.54,-1.65,-0.9000000000000057,1.3000000000000114,-0.018000000000000016
33,Buffalo,2.93,-2.22,67.0,104.6,0.527,2011,2.39,-3.87,66.1,105.9,0.509,0.54,1.65,0.9000000000000057,-1.3000000000000114,0.018000000000000016
34,Butler,11.53,5.02,64.5,109.0,0.501,2011,-1.84,-2.39,61.4,96.1,0.45,13.37,7.41,3.1000000000000014,12.900000000000006,0.05099999999999999
35,Cal Poly,-1.84,-2.39,61.4,96.1,0.45,2011,11.53,5.02,64.5,109.0,0.501,-13.37,-7.41,-3.1000000000000014,-12.900000000000006,-0.05099999999999999
36,Cal State Bakersfield,-11.44,-2.16,69.6,96.9,0.45,2011,-7.68,-2.81,68.4,103.8,0.508,-3.76,0.6499999999999999,1.1999999999999886,-6.8999999999999915,-0.057999999999999996
37,Cal State Fullerton,-7.68,-2.81,68.4,103.8,0.508,2011,-11.44,-2.16,69.6,96.9,0.45,3.76,-0.6499999999999999,-1.1999999999999886,6.8999999999999915,0.057999999999999996
38,Cal State Northridge,-5.35,-1.55,70.0,99.6,0.487,2011,-5.69,-1.9,68.0,102.3,0.534,0.34000000000000075,0.34999999999999987,2.0,-2.700000000000003,-0.04700000000000004
39,UC-Davis,-5.69,-1.9,68.0,102.3,0.534,2011,-5.35,-1.55,70.0,99.6,0.487,-0.34000000000000075,-0.34999999999999987,-2.0,2.700000000000003,0.04700000000000004
40,UC-Irvine,-3.78,-2.36,72.0,102.2,0.485,2011,-8.26,-1.4,66.6,97.8,0.47,4.48,-0.96,5.400000000000006,4.400000000000006,0.015000000000000013
41,UC-Riverside,-8.26,-1.4,66.6,97.8,0.47,2011,-3.78,-2.36,72.0,102.2,0.485,-4.48,0.96,-5.400000000000006,-4.400000000000006,-0.015000000000000013
42,UC-Santa Barbara,1.22,0.12,65.2,102.9,0.523,2011,9.45,9.17,68.5,103.9,0.508,-8.229999999999999,-9.05,-3.299999999999997,-1.0,0.015000000000000013
43,University of California,9.45,9.17,68.5,103.9,0.508,2011,1.22,0.12,65.2,102.9,0.523,8.229999999999999,9.05,3.299999999999997,1.0,-0.015000000000000013
44,Campbell,-6.67,-4.27,65.6,99.5,0.49,2011,-2.92,-3.55,67.3,101.2,0.491,-3.75,-0.7199999999999998,-1.7000000000000028,-1.7000000000000028,-0.0010000000000000009
45,Canisius,-2.92,-3.55,67.3,101.2,0.491,2011,-6.67,-4.27,65.6,99.5,0.49,3.75,0.7199999999999998,1.7000000000000028,1.7000000000000028,0.0010000000000000009
46,Centenary (LA),-25.21,-2.85,70.8,83.6,0.44,2011,-19.16,-5.39,72.3,94.2,0.466,-6.050000000000001,2.5399999999999996,-1.5,-10.600000000000009,-0.026000000000000023
47,Central Arkansas,-19.16,-5.39,72.3,94.2,0.466,2011,-25.21,-2.85,70.8,83.6,0.44,6.050000000000001,-2.5399999999999996,1.5,10.600000000000009,0.026000000000000023
48,Central Connecticut State,-1.94,-5.97,67.6,102.3,0.479,2011,6.25,1.97,65.3,105.3,0.512,-8.19,-7.9399999999999995,2.299999999999997,-3.0,-0.03300000000000003
49,Central Florida,6.25,1.97,65.3,105.3,0.512,2011,-1.94,-5.97,67.6,102.3,0.479,8.19,7.9399999999999995,-2.299999999999997,3.0,0.03300000000000003
50,Central Michigan,-8.01,-2.41,64.8,90.6,0.43,2011,-4.86,-4.57,69.0,106.6,0.502,-3.1499999999999995,2.16,-4.200000000000003,-16.0,-0.07200000000000001
51,Charleston Southern,-4.86,-4.57,69.0,106.6,0.502,2011,-8.01,-2.41,64.8,90.6,0.43,3.1499999999999995,-2.16,4.200000000000003,16.0,0.07200000000000001
52,Charlotte,-2.54,1.89,65.5,97.5,0.476,2011,-9.44,-2.67,70.8,99.2,0.491,6.8999999999999995,4.56,-5.299999999999997,-1.7000000000000028,-0.015000000000000013
53,Chattanooga,-9.44,-2.67,70.8,99.2,0.491,2011,-2.54,1.89,65.5,97.5,0.476,-6.8999999999999995,-4.56,5.299999999999997,1.7000000000000028,0.015000000000000013
54,Chicago State,-27.71,-4.88,74.7,88.0,0.439,2011,15.41,6.1,63.6,107.9,0.494,-43.120000000000005,-10.98,11.100000000000001,-19.900000000000006,-0.05499999999999999
55,Cincinnati,15.41,6.1,63.6,107.9,0.494,2011,-27.71,-4.88,74.7,88.0,0.439,43.120000000000005,10.98,-11.100000000000001,19.900000000000006,0.05499999999999999
56,Citadel,-9.84,-2.84,64.4,99.1,0.472,2011,13.76,6.58,65.1,104.5,0.503,-23.6,-9.42,-0.6999999999999886,-5.400000000000006,-0.031000000000000028
57,Clemson,13.76,6.58,65.1,104.5,0.503,2011,-9.84,-2.84,64.4,99.1,0.472,23.6,9.42,0.6999999999999886,5.400000000000006,0.031000000000000028
58,Cleveland State,7.59,1.74,66.5,106.8,0.494,2011,2.35,-5.15,68.0,111.2,0.528,5.24,6.890000000000001,-1.5,-4.400000000000006,-0.03400000000000003
59,Coastal Carolina,2.35,-5.15,68.0,111.2,0.528,2011,7.59,1.74,66.5,106.8,0.494,-5.24,-6.890000000000001,1.5,4.400000000000006,0.03400000000000003
60,Colgate,-15.8,-5.03,68.0,94.3,0.469,2011,6.17,-1.05,67.6,112.7,0.548,-21.97,-3.9800000000000004,0.4000000000000057,-18.400000000000006,-0.07900000000000007
61,College of Charleston,6.17,-1.05,67.6,112.7,0.548,2011,-15.8,-5.03,68.0,94.3,0.469,21.97,3.9800000000000004,-0.4000000000000057,18.400000000000006,0.07900000000000007
62,Colorado State,7.49,5.26,67.5,105.2,0.522,2011,11.45,5.61,69.1,114.0,0.524,-3.959999999999999,-0.35000000000000053,-1.5999999999999943,-8.799999999999997,-0.0020000000000000018
63,Colorado,11.45,5.61,69.1,114.0,0.524,2011,7.49,5.26,67.5,105.2,0.522,3.959999999999999,0.35000000000000053,1.5999999999999943,8.799999999999997,0.0020000000000000018
64,Columbia,-5.22,-4.81,68.1,103.0,0.476,2011,17.95,10.44,65.1,109.2,0.482,-23.169999999999998,-15.25,3.0,-6.200000000000003,-0.006000000000000005
65,Connecticut,17.95,10.44,65.1,109.2,0.482,2011,-5.22,-4.81,68.1,103.0,0.476,23.169999999999998,15.25,-3.0,6.200000000000003,0.006000000000000005
66,Coppin State,-8.7,-7.66,69.8,102.2,0.495,2011,-3.6,-1.6,66.0,102.6,0.496,-5.1,-6.0600000000000005,3.799999999999997,-0.3999999999999915,-0.0010000000000000009
67,Cornell,-3.6,-1.6,66.0,102.6,0.496,2011,-8.7,-7.66,69.8,102.2,0.495,5.1,6.0600000000000005,-3.799999999999997,0.3999999999999915,0.0010000000000000009
68,Creighton,4.87,1.41,63.5,108.1,0.529,2011,-14.86,-3.39,66.2,89.5,0.442,19.73,4.8,-2.700000000000003,18.599999999999994,0.08700000000000002
69,Dartmouth,-14.86,-3.39,66.2,89.5,0.442,2011,4.87,1.41,63.5,108.1,0.529,-19.73,-4.8,2.700000000000003,-18.599999999999994,-0.08700000000000002
70,Davidson,-0.39,-2.17,68.2,106.3,0.502,2011,4.87,3.2,65.9,100.6,0.468,-5.26,-5.37,2.299999999999997,5.700000000000003,0.033999999999999975
71,Dayton,4.87,3.2,65.9,100.6,0.468,2011,-0.39,-2.17,68.2,106.3,0.502,5.26,5.37,-2.299999999999997,-5.700000000000003,-0.033999999999999975
72,Delaware State,-12.18,-6.39,61.3,101.1,0.493,2011,-3.79,-0.11,62.9,99.2,0.473,-8.39,-6.279999999999999,-1.6000000000000014,1.8999999999999915,0.020000000000000018
73,Delaware,-3.79,-0.11,62.9,99.2,0.473,2011,-12.18,-6.39,61.3,101.1,0.493,8.39,6.279999999999999,1.6000000000000014,-1.8999999999999915,-0.020000000000000018
74,Denver,-4.04,-3.48,58.6,100.7,0.542,2011,-1.31,7.53,68.9,97.3,0.471,-2.73,-11.01,-10.300000000000004,3.4000000000000057,0.07100000000000006
75,DePaul,-1.31,7.53,68.9,97.3,0.471,2011,-4.04,-3.48,58.6,100.7,0.542,2.73,11.01,10.300000000000004,-3.4000000000000057,-0.07100000000000006
76,Detroit Mercy,1.88,0.91,70.5,104.1,0.509,2011,-2.56,0.76,65.4,98.1,0.49,4.4399999999999995,0.15000000000000002,5.099999999999994,6.0,0.019000000000000017
77,Drake,-2.56,0.76,65.4,98.1,0.49,2011,1.88,0.91,70.5,104.1,0.509,-4.4399999999999995,-0.15000000000000002,-5.099999999999994,-6.0,-0.019000000000000017
78,Drexel,4.02,-0.01,63.4,100.2,0.458,2011,24.51,8.32,70.2,115.2,0.537,-20.490000000000002,-8.33,-6.800000000000004,-15.0,-0.07900000000000001
79,Duke,24.51,8.32,70.2,115.2,0.537,2011,4.02,-0.01,63.4,100.2,0.458,20.490000000000002,8.33,6.800000000000004,15.0,0.07900000000000001
80,Duquesne,10.33,1.49,71.3,108.0,0.525,2011,1.67,2.99,65.8,102.9,0.5,8.66,-1.5000000000000002,5.5,5.099999999999994,0.025000000000000022
81,East Carolina,1.67,2.99,65.8,102.9,0.5,2011,10.33,1.49,71.3,108.0,0.525,-8.66,1.5000000000000002,-5.5,-5.099999999999994,-0.025000000000000022
82,East Tennessee State,2.08,-2.12,66.0,105.2,0.503,2011,-11.41,-4.89,63.7,94.3,0.46,13.49,2.7699999999999996,2.299999999999997,10.900000000000006,0.04299999999999998
83,Eastern Illinois,-11.41,-4.89,63.7,94.3,0.46,2011,2.08,-2.12,66.0,105.2,0.503,-13.49,-2.7699999999999996,-2.299999999999997,-10.900000000000006,-0.04299999999999998
84,Eastern Kentucky,-7.34,-6.48,62.4,105.0,0.524,2011,-9.11,-3.11,67.3,91.0,0.452,1.7699999999999996,-3.3700000000000006,-4.899999999999999,14.0,0.07200000000000001
85,Eastern Michigan,-9.11,-3.11,67.3,91.0,0.452,2011,-7.34,-6.48,62.4,105.0,0.524,-1.7699999999999996,3.3700000000000006,4.899999999999999,-14.0,-0.07200000000000001
86,Eastern Washington,-8.5,-2.22,66.6,100.5,0.48,2011,-6.54,-3.32,70.3,105.6,0.508,-1.96,1.0999999999999996,-3.700000000000003,-5.099999999999994,-0.028000000000000025
87,Elon,-6.54,-3.32,70.3,105.6,0.508,2011,-8.5,-2.22,66.6,100.5,0.48,1.96,-1.0999999999999996,3.700000000000003,5.099999999999994,0.028000000000000025
88,Evansville,-0.3,1.8,66.1,100.0,0.496,2011,2.94,-3.91,65.8,98.7,0.472,-3.2399999999999998,5.71,0.29999999999999716,1.2999999999999972,0.02400000000000002
89,Fairfield,2.94,-3.91,65.8,98.7,0.472,2011,-0.3,1.8,66.1,100.0,0.496,3.2399999999999998,-5.71,-0.29999999999999716,-1.2999999999999972,-0.02400000000000002
90,Fairleigh Dickinson,-13.34,-5.0,67.3,94.1,0.444,2011,-16.82,-8.71,68.7,92.0,0.453,3.4800000000000004,3.710000000000001,-1.4000000000000057,2.0999999999999943,-0.009000000000000008
91,Florida A&M,-16.82,-8.71,68.7,92.0,0.453,2011,-13.34,-5.0,67.3,94.1,0.444,-3.4800000000000004,-3.710000000000001,1.4000000000000057,-2.0999999999999943,0.009000000000000008
92,Florida Atlantic,-2.41,-2.61,64.7,105.0,0.492,2011,-10.27,-3.11,69.2,93.7,0.454,7.859999999999999,0.5,-4.5,11.299999999999997,0.03799999999999998
93,Florida Gulf Coast,-10.27,-3.11,69.2,93.7,0.454,2011,-2.41,-2.61,64.7,105.0,0.492,-7.859999999999999,-0.5,4.5,-11.299999999999997,-0.03799999999999998
94,Florida International,-9.33,-4.23,69.4,101.6,0.488,2011,13.48,6.45,69.3,99.3,0.49,-22.810000000000002,-10.68,0.10000000000000853,2.299999999999997,-0.0020000000000000018
95,Florida State,13.48,6.45,69.3,99.3,0.49,2011,-9.33,-4.23,69.4,101.6,0.488,22.810000000000002,10.68,-0.10000000000000853,-2.299999999999997,0.0020000000000000018
96,Florida,16.27,7.57,63.9,110.3,0.521,2011,-8.77,1.01,67.9,94.4,0.452,25.04,6.5600000000000005,-4.000000000000007,15.899999999999991,0.069
97,Fordham,-8.77,1.01,67.9,94.4,0.452,2011,16.27,7.57,63.9,110.3,0.521,-25.04,-6.5600000000000005,4.000000000000007,-15.899999999999991,-0.069
98,Fresno State,-0.25,0.58,67.6,99.7,0.48,2011,-0.36,-3.65,63.6,107.4,0.516,0.10999999999999999,4.2299999999999995,3.999999999999993,-7.700000000000003,-0.03600000000000003
99,Furman,-0.36,-3.65,63.6,107.4,0.516,2011,-0.25,0.58,67.6,99.7,0.48,-0.10999999999999999,-4.2299999999999995,-3.999999999999993,7.700000000000003,0.03600000000000003
100,Gardner-Webb,-9.22,-2.72,65.9,93.7,0.469,2011,11.66,1.37,64.3,111.9,0.532,-20.880000000000003,-4.09,1.6000000000000085,-18.200000000000003,-0.06300000000000006
101,George Mason,11.66,1.37,64.3,111.9,0.532,2011,-9.22,-2.72,65.9,93.7,0.469,20.880000000000003,4.09,-1.6000000000000085,18.200000000000003,0.06300000000000006
102,George Washington,-0.1,0.36,64.7,99.9,0.468,2011,14.61,10.39,64.8,108.5,0.541,-14.709999999999999,-10.030000000000001,-0.09999999999999432,-8.599999999999994,-0.07300000000000001
103,Georgetown,14.61,10.39,64.8,108.5,0.541,2011,-0.1,0.36,64.7,99.9,0.468,14.709999999999999,10.030000000000001,0.09999999999999432,8.599999999999994,0.07300000000000001
104,Georgia Southern,-15.88,-3.13,69.5,93.2,0.491,2011,-4.15,-1.92,63.6,95.5,0.475,-11.73,-1.21,5.899999999999999,-2.299999999999997,0.016000000000000014
105,Georgia State,-4.15,-1.92,63.6,95.5,0.475,2011,-15.88,-3.13,69.5,93.2,0.491,11.73,1.21,-5.899999999999999,2.299999999999997,-0.016000000000000014
106,Georgia Tech,6.42,5.68,69.2,97.3,0.457,2011,10.43,6.13,64.6,104.0,0.495,-4.01,-0.4500000000000002,4.6000000000000085,-6.700000000000003,-0.03799999999999998
107,Georgia,10.43,6.13,64.6,104.0,0.495,2011,6.42,5.68,69.2,97.3,0.457,4.01,0.4500000000000002,-4.6000000000000085,6.700000000000003,0.03799999999999998
108,Gonzaga,13.86,4.01,68.4,111.3,0.531,2011,-18.45,-10.45,69.1,86.3,0.425,32.31,14.459999999999999,-0.6999999999999886,25.0,0.10600000000000004
109,Grambling,-18.45,-10.45,69.1,86.3,0.425,2011,13.86,4.01,68.4,111.3,0.531,-32.31,-14.459999999999999,0.6999999999999886,-25.0,-0.10600000000000004
110,Green Bay,-0.21,2.18,65.6,101.8,0.479,2011,-5.2,-8.77,67.3,97.5,0.463,4.99,10.95,-1.7000000000000028,4.299999999999997,0.01599999999999996
111,Hampton,-5.2,-8.77,67.3,97.5,0.463,2011,-0.21,2.18,65.6,101.8,0.479,-4.99,-10.95,1.7000000000000028,-4.299999999999997,-0.01599999999999996
112,Hartford,-10.04,-5.55,63.5,92.4,0.458,2011,4.88,-1.19,63.9,111.0,0.543,-14.919999999999998,-4.359999999999999,-0.3999999999999986,-18.599999999999994,-0.08500000000000002
113,Harvard,4.88,-1.19,63.9,111.0,0.543,2011,-10.04,-5.55,63.5,92.4,0.458,14.919999999999998,4.359999999999999,0.3999999999999986,18.599999999999994,0.08500000000000002
114,Hawaii,0.51,-0.87,68.6,99.8,0.508,2011,-12.82,-4.47,68.5,95.4,0.462,13.33,3.5999999999999996,0.09999999999999432,4.3999999999999915,0.045999999999999985
115,High Point,-12.82,-4.47,68.5,95.4,0.462,2011,0.51,-0.87,68.6,99.8,0.508,-13.33,-3.5999999999999996,-0.09999999999999432,-4.3999999999999915,-0.045999999999999985
116,Hofstra,-0.03,0.13,64.8,108.0,0.5,2011,-6.38,-4.55,66.0,101.0,0.486,6.35,4.68,-1.2000000000000028,7.0,0.014000000000000012
117,Holy Cross,-6.38,-4.55,66.0,101.0,0.486,2011,-0.03,0.13,64.8,108.0,0.5,-6.35,-4.68,1.2000000000000028,-7.0,-0.014000000000000012
118,Houston Baptist,-18.41,-8.72,73.3,93.4,0.454,2011,-2.71,0.55,66.4,101.4,0.515,-15.7,-9.270000000000001,6.8999999999999915,-8.0,-0.061
119,Houston,-2.71,0.55,66.4,101.4,0.515,2011,-18.41,-8.72,73.3,93.4,0.454,15.7,9.270000000000001,-6.8999999999999915,8.0,0.061
120,Howard,-18.8,-7.3,66.0,88.5,0.424,2011,-10.76,-1.87,64.9,98.5,0.457,-8.040000000000001,-5.43,1.0999999999999943,-10.0,-0.03300000000000003
121,Idaho State,-10.76,-1.87,64.9,98.5,0.457,2011,-18.8,-7.3,66.0,88.5,0.424,8.040000000000001,5.43,-1.0999999999999943,10.0,0.03300000000000003
122,Idaho,0.2,-0.64,65.4,102.5,0.523,2011,-6.32,1.98,65.6,94.4,0.467,6.5200000000000005,-2.62,-0.19999999999998863,8.099999999999994,0.055999999999999994
123,Illinois-Chicago,-6.32,1.98,65.6,94.4,0.467,2011,0.2,-0.64,65.4,102.5,0.523,-6.5200000000000005,2.62,0.19999999999998863,-8.099999999999994,-0.055999999999999994
124,Illinois State,-3.37,-0.66,62.4,96.8,0.473,2011,16.72,11.11,66.2,106.8,0.529,-20.09,-11.77,-3.8000000000000043,-10.0,-0.05600000000000005
125,Illinois,16.72,11.11,66.2,106.8,0.529,2011,-3.37,-0.66,62.4,96.8,0.473,20.09,11.77,3.8000000000000043,10.0,0.05600000000000005
126,Indiana State,3.41,2.9,64.8,100.8,0.494,2011,9.03,7.65,65.3,106.2,0.516,-5.619999999999999,-4.75,-0.5,-5.400000000000006,-0.02200000000000002
127,Indiana,9.03,7.65,65.3,106.2,0.516,2011,3.41,2.9,64.8,100.8,0.494,5.619999999999999,4.75,0.5,5.400000000000006,0.02200000000000002
128,Iona,7.01,-2.26,69.5,112.1,0.544,2011,8.86,4.55,70.7,104.6,0.506,-1.8499999999999996,-6.81,-1.2000000000000028,7.5,0.038000000000000034
129,Iowa State,8.86,4.55,70.7,104.6,0.506,2011,7.01,-2.26,69.5,112.1,0.544,1.8499999999999996,6.81,1.2000000000000028,-7.5,-0.038000000000000034
130,Iowa,7.95,8.79,67.1,99.5,0.481,2011,-2.17,-5.17,67.6,109.0,0.529,10.120000000000001,13.959999999999999,-0.5,-9.5,-0.04800000000000004
131,Purdue-Fort Wayne,-2.17,-5.17,67.6,109.0,0.529,2011,7.95,8.79,67.1,99.5,0.481,-10.120000000000001,-13.959999999999999,0.5,9.5,0.04800000000000004
132,IUPUI,0.39,-0.84,63.2,112.5,0.529,2011,-10.43,-10.86,66.3,97.7,0.474,10.82,10.02,-3.0999999999999943,14.799999999999997,0.05500000000000005
133,Jackson State,-10.43,-10.86,66.3,97.7,0.474,2011,0.39,-0.84,63.2,112.5,0.529,-10.82,-10.02,3.0999999999999943,-14.799999999999997,-0.05500000000000005
134,Jacksonville State,-11.16,-5.41,62.8,95.9,0.481,2011,-1.42,-3.68,68.2,97.8,0.461,-9.74,-1.73,-5.400000000000006,-1.8999999999999915,0.019999999999999962
135,Jacksonville,-1.42,-3.68,68.2,97.8,0.461,2011,-11.16,-5.41,62.8,95.9,0.481,9.74,1.73,5.400000000000006,1.8999999999999915,-0.019999999999999962
136,James Madison,2.94,-0.03,66.9,106.3,0.513,2011,14.59,8.41,68.8,105.9,0.499,-11.65,-8.44,-1.8999999999999915,0.3999999999999915,0.014000000000000012
137,Kansas State,14.59,8.41,68.8,105.9,0.499,2011,2.94,-0.03,66.9,106.3,0.513,11.65,8.44,1.8999999999999915,-0.3999999999999915,-0.014000000000000012
138,Kansas,24.1,7.62,69.7,116.0,0.57,2011,-14.06,-3.29,66.0,96.6,0.467,38.160000000000004,10.91,3.700000000000003,19.400000000000006,0.10299999999999992
139,Kennesaw State,-14.06,-3.29,66.0,96.6,0.467,2011,24.1,7.62,69.7,116.0,0.57,-38.160000000000004,-10.91,-3.700000000000003,-19.400000000000006,-0.10299999999999992
140,Kent State,3.65,0.04,67.2,104.3,0.487,2011,20.3,8.91,66.2,112.8,0.523,-16.650000000000002,-8.870000000000001,1.0,-8.5,-0.03600000000000003
141,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,3.65,0.04,67.2,104.3,0.487,16.650000000000002,8.870000000000001,-1.0,8.5,0.03600000000000003
142,La Salle,-0.08,1.7,71.8,103.9,0.496,2011,-7.26,-4.19,66.7,102.0,0.499,7.18,5.890000000000001,5.099999999999994,1.9000000000000057,-0.0030000000000000027
143,Lafayette,-7.26,-4.19,66.7,102.0,0.499,2011,-0.08,1.7,71.8,103.9,0.496,-7.18,-5.890000000000001,-5.099999999999994,-1.9000000000000057,0.0030000000000000027
144,Lamar,-6.69,-5.96,77.4,106.1,0.491,2011,-4.07,-5.69,71.1,102.2,0.465,-2.62,-0.2699999999999996,6.300000000000011,3.8999999999999915,0.025999999999999968
145,Lehigh,-4.07,-5.69,71.1,102.2,0.465,2011,-6.69,-5.96,77.4,106.1,0.491,2.62,0.2699999999999996,-6.300000000000011,-3.8999999999999915,-0.025999999999999968
146,Liberty,-5.62,-4.86,66.9,99.5,0.472,2011,-0.96,-2.65,71.8,104.8,0.51,-4.66,-2.2100000000000004,-4.8999999999999915,-5.299999999999997,-0.038000000000000034
